music,link
你曾是少年,https://music.163.com/song?id=426027293
Super Star,https://music.163.com/song?id=375762
恋人未满,https://music.163.com/song?id=375917
安静了,https://music.163.com/song?id=375020
一眼万年 - (电视剧《天外飞仙》片头曲),https://music.163.com/song?id=4874862
中国话,https://music.163.com/song?id=375085
不想长大,https://music.163.com/song?id=375381
爱上你 - (电视剧《就想赖着妳》片尾曲),https://music.163.com/song?id=374890
怎么办,https://music.163.com/song?id=5247683
"最近还好吗 - (电视剧《斗牛, 要不要》片尾曲)",https://music.163.com/song?id=4873602
天灰,https://music.163.com/song?id=375394
手牵手 - (2003年抗非典公益歌曲),https://music.163.com/song?id=5268423
触电,https://music.163.com/song?id=375295
十七,https://music.163.com/song?id=1305366827
热带雨林,https://music.163.com/song?id=375892
他还是不懂,https://music.163.com/song?id=375667
波斯猫,https://music.163.com/song?id=375660
新窝,https://music.163.com/song?id=354549
两个人的荒岛 - (电视剧《杜拉拉升职记》片尾曲),https://music.163.com/song?id=374875
半糖主义,https://music.163.com/song?id=375774
美丽新世界,https://music.163.com/song?id=375852
伤心的人别听慢歌 (Live),https://music.163.com/song?id=541511123
五月天,https://music.163.com/song?id=375100
候鸟 - (电影《再见了，可鲁》主题曲),https://music.163.com/song?id=375624
谢谢你的温柔,https://music.163.com/song?id=375090
听袁惟仁弹吉他,https://music.163.com/song?id=375095
酸甜,https://music.163.com/song?id=375043
痛快,https://music.163.com/song?id=375627
沿海公路的出口,https://music.163.com/song?id=374999
不做你的朋友,https://music.163.com/song?id=375390
我爱你,https://music.163.com/song?id=374959
紫藤花,https://music.163.com/song?id=375308
天亮了,https://music.163.com/song?id=375004
你不会,https://music.163.com/song?id=374894
简单爱(Ella solo)(Live),https://music.163.com/song?id=374753
爱我的资格,https://music.163.com/song?id=375899
星光 - (电视剧《真命天女》片头曲),https://music.163.com/song?id=375352
我爱雨夜花,https://music.163.com/song?id=374871
爱来过,https://music.163.com/song?id=4873604
月桂女神,https://music.163.com/song?id=375397
天使在唱歌,https://music.163.com/song?id=375812
远方,https://music.163.com/song?id=375766
Shero - (2010台北国际花卉博览会主题曲),https://music.163.com/song?id=374866
花都开好了 - (电视剧《蔷薇之恋》主题曲),https://music.163.com/song?id=375327
花又开好了,https://music.163.com/song?id=22854002
612 星球,https://music.163.com/song?id=375028
亲爱的树洞,https://music.163.com/song?id=22854005
说你爱我,https://music.163.com/song?id=375123
记得要忘记,https://music.163.com/song?id=375894
别说对不起,https://music.163.com/song?id=375630
