music,link,artist_name,sid
说谎,https://music.163.com/song?id=108390,林宥嘉,3685
成全,https://music.163.com/song?id=562594267,林宥嘉,3685
浪费,https://music.163.com/song?id=108179,林宥嘉,3685
全世界谁倾听你  - (电影《从你的全世界路过》插曲),https://music.163.com/song?id=432509483,林宥嘉,3685
追寻年少的光 - (电视剧《流淌的美好时光》主题曲),https://music.163.com/song?id=1374630898,林宥嘉,3685
想自由,https://music.163.com/song?id=108281,林宥嘉,3685
突然想起你(Live),https://music.163.com/song?id=108224,林宥嘉,3685
残酷月光,https://music.163.com/song?id=108557,林宥嘉,3685
傻子,https://music.163.com/song?id=108194,林宥嘉,3685
天真有邪,https://music.163.com/song?id=417833029,林宥嘉,3685
心酸,https://music.163.com/song?id=108393,林宥嘉,3685
我爱的人,https://music.163.com/song?id=350651,林宥嘉,3685
别让我走远 - (电视剧《我们与恶的距离》主题曲),https://music.163.com/song?id=1353372483,林宥嘉,3685
自然醒,https://music.163.com/song?id=108277,林宥嘉,3685
"背影 - (电视剧《斗牛, 要不要》插曲)",https://music.163.com/song?id=5247677,林宥嘉,3685
神秘嘉宾,https://music.163.com/song?id=108539,林宥嘉,3685
你是我的眼,https://music.163.com/song?id=350616,林宥嘉,3685
船,https://music.163.com/song?id=479408180,林宥嘉,3685
我梦见你梦见我,https://music.163.com/song?id=417250911,林宥嘉,3685
感同身受,https://music.163.com/song?id=108411,林宥嘉,3685
我总是一个人在练习一个人,https://music.163.com/song?id=108284,林宥嘉,3685
脆弱一分钟 - (电视剧《爱情进化论》片头曲),https://music.163.com/song?id=1294910319,林宥嘉,3685
勉强幸福,https://music.163.com/song?id=108191,林宥嘉,3685
诱,https://music.163.com/song?id=108182,林宥嘉,3685
致姗姗来迟的你 (Live),https://music.163.com/song?id=862098927,林宥嘉,3685
美妙生活,https://music.163.com/song?id=108273,林宥嘉,3685
心有林夕,https://music.163.com/song?id=108567,林宥嘉,3685
我已经敢想你,https://music.163.com/song?id=417250909,林宥嘉,3685
勿忘你,https://music.163.com/song?id=417250913,林宥嘉,3685
思凡,https://music.163.com/song?id=108170,林宥嘉,3685
突然好想你(Live),https://music.163.com/song?id=34614324,林宥嘉,3685
拥有,https://music.163.com/song?id=108291,林宥嘉,3685
离开地球表面 (Live),https://music.163.com/song?id=26608581,林宥嘉,3685
推动摇篮的手,https://music.163.com/song?id=862102137,林宥嘉,3685
眼色,https://music.163.com/song?id=108536,林宥嘉,3685
我只在乎你,https://music.163.com/song?id=25850223,林宥嘉,3685
一点点,https://music.163.com/song?id=417833031,林宥嘉,3685
坏与更坏,https://music.163.com/song?id=417250908,林宥嘉,3685
如同悲伤被下载了两次 ,https://music.163.com/song?id=34179838,林宥嘉,3685
早开的晚霞,https://music.163.com/song?id=108294,林宥嘉,3685
长大的童话 - (电影《西城童话》主题曲),https://music.163.com/song?id=442898703,林宥嘉,3685
再别康桥,https://music.163.com/song?id=108571,林宥嘉,3685
纪念品,https://music.163.com/song?id=108287,林宥嘉,3685
天将明 - (电视剧《秦时明月》片头曲),https://music.163.com/song?id=428095030,林宥嘉,3685
给小孩,https://music.163.com/song?id=296894,林宥嘉,3685
让世界毁灭,https://music.163.com/song?id=417833028,林宥嘉,3685
吻得太逼真/酷爱(Live),https://music.163.com/song?id=5240868,林宥嘉,3685
飞,https://music.163.com/song?id=417250910,林宥嘉,3685
兜圈 - (电视剧《必娶女人》片尾曲),https://music.163.com/song?id=436016777,林宥嘉,3685
宠儿,https://music.163.com/song?id=417833033,林宥嘉,3685
