music,link
木偶人,https://music.163.com/song?id=1374051000
慢半拍,https://music.163.com/song?id=1374061028
我好像在哪见过你 - (电影《精灵王座》主题曲),https://music.163.com/song?id=417859631
天份,https://music.163.com/song?id=1334647784
演员,https://music.163.com/song?id=32507038
意外,https://music.163.com/song?id=27890306
暧昧,https://music.163.com/song?id=471385043
你还要我怎样,https://music.163.com/song?id=27955653
刚刚好,https://music.163.com/song?id=415792881
动物世界,https://music.163.com/song?id=468517654
绅士,https://music.163.com/song?id=32192436
哑巴,https://music.163.com/song?id=557583281
其实,https://music.163.com/song?id=27955654
像风一样,https://music.163.com/song?id=516657051
怪咖,https://music.163.com/song?id=574921549
认真的雪,https://music.163.com/song?id=169185
一半,https://music.163.com/song?id=35528482
最好,https://music.163.com/song?id=1294910785
丑八怪,https://music.163.com/song?id=27808044
肆无忌惮,https://music.163.com/song?id=557581967
方圆几里 - (微电影《最熟悉的陌生人》主题曲),https://music.163.com/song?id=27955658
下雨了,https://music.163.com/song?id=32507039
那是你离开了北京的生活,https://music.163.com/song?id=571340283
别,https://music.163.com/song?id=515803379
我害怕,https://music.163.com/song?id=474567044
高尚,https://music.163.com/song?id=466122271
狐狸 - (电影《二代妖精之今生有幸》推广曲),https://music.163.com/song?id=525241230
摩天大楼,https://music.163.com/song?id=553543014
初学者,https://music.163.com/song?id=412902689
有没有,https://music.163.com/song?id=27955656
等我回家,https://music.163.com/song?id=27955652
骆驼,https://music.163.com/song?id=518894283
我知道你都知道 - (电视剧《胜女的代价》插曲),https://music.163.com/song?id=169137
背过手,https://music.163.com/song?id=520458481
几个你 - (电视剧《胜女的代价》插曲),https://music.163.com/song?id=169140
来日方长 - (电影《我不是潘金莲》方圆版推广曲),https://music.163.com/song?id=429450375
为了遇见你,https://music.163.com/song?id=33071053
火星人来过,https://music.163.com/song?id=443277013
渡,https://music.163.com/song?id=517571371
花儿和少年,https://music.163.com/song?id=421160838
小孩,https://music.163.com/song?id=35288183
未完成的歌,https://music.163.com/song?id=169152
我想起你了,https://music.163.com/song?id=27955655
重返十七岁(新版) - (综艺《我去上学啦》第二季主题曲),https://music.163.com/song?id=418603445
伏笔,https://music.163.com/song?id=169142
我终于成了别人的女人,https://music.163.com/song?id=169144
潮流季,https://music.163.com/song?id=27955651
Stay Here,https://music.163.com/song?id=421148955
传说,https://music.163.com/song?id=169198
爱我的人 谢谢你,https://music.163.com/song?id=169188
